sentence_1_id,sentence_2_id,sentence_1,sentence_2,cosine_similarity
1,13,Machine learning algorithms can process vast amounts of data,The mountains offer breathtaking views and fresh air,0.07271976
5,12,Spring brings colorful flowers and fresh green leaves,Paris is known for its beautiful architecture and museums,0.07216816
6,16,I love cooking Italian pasta with fresh tomatoes,Students learn best through hands-on practical experience,0.07147786
0,3,Python is a powerful programming language for data science,The weather is beautiful and sunny today,0.071106344
7,16,The chocolate cake tastes incredibly sweet and delicious,Students learn best through hands-on practical experience,0.0696128
7,10,The chocolate cake tastes incredibly sweet and delicious,Running in the morning gives me energy for the day,0.0689966
1,11,Machine learning algorithms can process vast amounts of data,Swimming is an excellent full-body cardiovascular exercise,0.06867674
1,3,Machine learning algorithms can process vast amounts of data,The weather is beautiful and sunny today,0.06865486
7,11,The chocolate cake tastes incredibly sweet and delicious,Swimming is an excellent full-body cardiovascular exercise,0.06763298
2,6,Artificial intelligence is transforming modern society,I love cooking Italian pasta with fresh tomatoes,0.06555684
14,18,Tropical beaches have crystal clear water and white sand,Classical music creates a peaceful and relaxing atmosphere,0.06274106
10,19,Running in the morning gives me energy for the day,Modern art expresses creativity through bold colors and shapes,0.062106002
1,14,Machine learning algorithms can process vast amounts of data,Tropical beaches have crystal clear water and white sand,0.05853708
7,14,The chocolate cake tastes incredibly sweet and delicious,Tropical beaches have crystal clear water and white sand,0.057074137
0,15,Python is a powerful programming language for data science,Reading books expands knowledge and improves vocabulary,0.056047548
8,16,Healthy vegetables provide essential vitamins and nutrients,Students learn best through hands-on practical experience,0.0549909
16,18,Students learn best through hands-on practical experience,Classical music creates a peaceful and relaxing atmosphere,0.052947532
11,19,Swimming is an excellent full-body cardiovascular exercise,Modern art expresses creativity through bold colors and shapes,0.051887568
4,15,It's raining heavily outside with thunder and lightning,Reading books expands knowledge and improves vocabulary,0.050000325
4,19,It's raining heavily outside with thunder and lightning,Modern art expresses creativity through bold colors and shapes,0.047856927
14,15,Tropical beaches have crystal clear water and white sand,Reading books expands knowledge and improves vocabulary,0.047744986
1,5,Machine learning algorithms can process vast amounts of data,Spring brings colorful flowers and fresh green leaves,0.04757342
11,12,Swimming is an excellent full-body cardiovascular exercise,Paris is known for its beautiful architecture and museums,0.04730777
4,12,It's raining heavily outside with thunder and lightning,Paris is known for its beautiful architecture and museums,0.046826426
3,15,The weather is beautiful and sunny today,Reading books expands knowledge and improves vocabulary,0.04181271
4,7,It's raining heavily outside with thunder and lightning,The chocolate cake tastes incredibly sweet and delicious,0.040633887
4,6,It's raining heavily outside with thunder and lightning,I love cooking Italian pasta with fresh tomatoes,0.038722936
0,5,Python is a powerful programming language for data science,Spring brings colorful flowers and fresh green leaves,0.037882265
12,17,Paris is known for its beautiful architecture and museums,Online education makes learning accessible to everyone,0.037119467
8,18,Healthy vegetables provide essential vitamins and nutrients,Classical music creates a peaceful and relaxing atmosphere,0.036031842
5,16,Spring brings colorful flowers and fresh green leaves,Students learn best through hands-on practical experience,0.03420556
7,8,The chocolate cake tastes incredibly sweet and delicious,Healthy vegetables provide essential vitamins and nutrients,0.033199638
0,4,Python is a powerful programming language for data science,It's raining heavily outside with thunder and lightning,0.033033226
10,14,Running in the morning gives me energy for the day,Tropical beaches have crystal clear water and white sand,0.031368088
15,18,Reading books expands knowledge and improves vocabulary,Classical music creates a peaceful and relaxing atmosphere,0.031089157
6,14,I love cooking Italian pasta with fresh tomatoes,Tropical beaches have crystal clear water and white sand,0.031004202
9,12,Playing soccer requires teamwork and physical fitness,Paris is known for its beautiful architecture and museums,0.030161776
2,4,Artificial intelligence is transforming modern society,It's raining heavily outside with thunder and lightning,0.029740354
1,10,Machine learning algorithms can process vast amounts of data,Running in the morning gives me energy for the day,0.029587721
12,16,Paris is known for its beautiful architecture and museums,Students learn best through hands-on practical experience,0.027323123
5,9,Spring brings colorful flowers and fresh green leaves,Playing soccer requires teamwork and physical fitness,0.026137954
9,13,Playing soccer requires teamwork and physical fitness,The mountains offer breathtaking views and fresh air,0.024731845
6,15,I love cooking Italian pasta with fresh tomatoes,Reading books expands knowledge and improves vocabulary,0.022704236
11,17,Swimming is an excellent full-body cardiovascular exercise,Online education makes learning accessible to everyone,0.02149503
1,9,Machine learning algorithms can process vast amounts of data,Playing soccer requires teamwork and physical fitness,0.021009974
0,8,Python is a powerful programming language for data science,Healthy vegetables provide essential vitamins and nutrients,0.019778937
2,11,Artificial intelligence is transforming modern society,Swimming is an excellent full-body cardiovascular exercise,0.019661885
4,16,It's raining heavily outside with thunder and lightning,Students learn best through hands-on practical experience,0.019058969
1,18,Machine learning algorithms can process vast amounts of data,Classical music creates a peaceful and relaxing atmosphere,0.017512895
0,13,Python is a powerful programming language for data science,The mountains offer breathtaking views and fresh air,0.017069781
7,17,The chocolate cake tastes incredibly sweet and delicious,Online education makes learning accessible to everyone,0.016683713
1,6,Machine learning algorithms can process vast amounts of data,I love cooking Italian pasta with fresh tomatoes,0.015975833
0,19,Python is a powerful programming language for data science,Modern art expresses creativity through bold colors and shapes,0.014401287
0,10,Python is a powerful programming language for data science,Running in the morning gives me energy for the day,0.013344377
10,12,Running in the morning gives me energy for the day,Paris is known for its beautiful architecture and museums,0.013115036
10,17,Running in the morning gives me energy for the day,Online education makes learning accessible to everyone,0.012257411
2,10,Artificial intelligence is transforming modern society,Running in the morning gives me energy for the day,0.010544793
4,17,It's raining heavily outside with thunder and lightning,Online education makes learning accessible to everyone,0.007630146
6,9,I love cooking Italian pasta with fresh tomatoes,Playing soccer requires teamwork and physical fitness,0.0048035807
17,18,Online education makes learning accessible to everyone,Classical music creates a peaceful and relaxing atmosphere,0.0045179403
10,16,Running in the morning gives me energy for the day,Students learn best through hands-on practical experience,0.0016183704
14,16,Tropical beaches have crystal clear water and white sand,Students learn best through hands-on practical experience,0.0011348297
8,19,Healthy vegetables provide essential vitamins and nutrients,Modern art expresses creativity through bold colors and shapes,0.0006757199
7,15,The chocolate cake tastes incredibly sweet and delicious,Reading books expands knowledge and improves vocabulary,-0.00055573584
0,12,Python is a powerful programming language for data science,Paris is known for its beautiful architecture and museums,-0.0011487951
3,9,The weather is beautiful and sunny today,Playing soccer requires teamwork and physical fitness,-0.001999531
3,17,The weather is beautiful and sunny today,Online education makes learning accessible to everyone,-0.0064150626
3,16,The weather is beautiful and sunny today,Students learn best through hands-on practical experience,-0.011947804
0,18,Python is a powerful programming language for data science,Classical music creates a peaceful and relaxing atmosphere,-0.013052615
5,17,Spring brings colorful flowers and fresh green leaves,Online education makes learning accessible to everyone,-0.013312031
7,9,The chocolate cake tastes incredibly sweet and delicious,Playing soccer requires teamwork and physical fitness,-0.014026371
4,9,It's raining heavily outside with thunder and lightning,Playing soccer requires teamwork and physical fitness,-0.014081872
13,17,The mountains offer breathtaking views and fresh air,Online education makes learning accessible to everyone,-0.015272074
4,8,It's raining heavily outside with thunder and lightning,Healthy vegetables provide essential vitamins and nutrients,-0.01783662
6,17,I love cooking Italian pasta with fresh tomatoes,Online education makes learning accessible to everyone,-0.02018861
0,7,Python is a powerful programming language for data science,The chocolate cake tastes incredibly sweet and delicious,-0.02182343
2,8,Artificial intelligence is transforming modern society,Healthy vegetables provide essential vitamins and nutrients,-0.025347613
8,12,Healthy vegetables provide essential vitamins and nutrients,Paris is known for its beautiful architecture and museums,-0.029788245
1,8,Machine learning algorithms can process vast amounts of data,Healthy vegetables provide essential vitamins and nutrients,-0.0320707
2,14,Artificial intelligence is transforming modern society,Tropical beaches have crystal clear water and white sand,-0.036768224
14,17,Tropical beaches have crystal clear water and white sand,Online education makes learning accessible to everyone,-0.040426653
0,14,Python is a powerful programming language for data science,Tropical beaches have crystal clear water and white sand,-0.0487387
2,13,Artificial intelligence is transforming modern society,The mountains offer breathtaking views and fresh air,-0.053309157
2,5,Artificial intelligence is transforming modern society,Spring brings colorful flowers and fresh green leaves,-0.06312674
